Sample_ID,Sport,Dport,Dur,TotPkts,TotBytes,SrcBytes,DstBytes,sRate,dRate,sLoad,dLoad,sMeanPktSz,dMeanPktSz,sJitter,dJitter,sHops,dHops,sTtl,dTtl,Proto_Code,State_Code,Mean_Pulse,Mean_SpO2,Mean_Temp,Mean_Blood_Pressure,Respiration_Rate,Mean_ECG,Tcp_Rtt,Ack_Dat,Syn_Ack,sLoss,dLoss,sWin,dWin,sAppBytes,dAppBytes,Label
NORM-0112,80.0,443.0,0.1979,29.0,11180.0,6459.0,1613.0,9.14,5.08,43788.76,31514.24,67.59,65.38,0.0284,0.0148,11.0,9.0,64.0,128.0,6.0,2.0,77.1,97.0,37.1,128.7,14.6,0.61,0.0617,0.0213,0.0127,0.0,0.0,65535.0,65535.0,4186.0,4100.0,0
NORM-0050,443.0,80.0,0.0707,27.0,5874.0,3001.0,2147.0,20.26,8.93,44529.91,41905.33,78.97,80.41,0.0067,0.0314,6.0,2.0,64.0,255.0,6.0,2.0,71.6,98.9,37.0,127.8,14.2,0.93,0.0327,0.0382,0.0252,0.0,0.0,65535.0,65535.0,4595.0,4069.0,0
NORM-0036,443.0,443.0,0.7015,19.0,10520.0,755.0,2640.0,28.87,9.85,5847.3,34154.2,227.4,112.84,0.0109,0.0101,7.0,8.0,64.0,128.0,6.0,2.0,71.6,96.2,36.4,127.2,16.1,0.57,0.0177,0.0138,0.0153,0.0,0.0,65535.0,65535.0,1700.0,3871.0,0
NORM-0081,443.0,80.0,0.1499,36.0,12306.0,444.0,2893.0,18.26,18.24,2069.74,23665.87,125.52,140.04,0.0059,0.0394,12.0,14.0,64.0,64.0,6.0,2.0,79.7,98.7,37.0,123.0,15.8,0.77,0.0787,0.0065,0.0206,0.0,0.0,65535.0,65535.0,4807.0,2825.0,0
NORM-0078,80.0,20611.0,7.217,26.0,971.0,7035.0,5435.0,29.26,25.74,48564.8,25214.23,74.85,221.46,0.0311,0.0311,7.0,6.0,128.0,128.0,6.0,2.0,69.5,98.6,36.4,130.3,12.2,1.02,0.0457,0.0159,0.0389,0.0,0.0,65535.0,65535.0,826.0,3718.0,0
NORM-0035,53.0,35469.0,0.4884,24.0,2285.0,6317.0,6366.0,26.64,23.15,5893.26,9993.48,201.28,64.4,0.049,0.0195,12.0,11.0,255.0,255.0,6.0,2.0,73.0,97.1,38.1,128.5,14.6,1.0,0.0755,0.0214,0.0119,0.0,0.0,65535.0,65535.0,1822.0,2010.0,0
NORM-0115,80.0,443.0,0.9868,19.0,5472.0,3968.0,4019.0,10.55,4.58,47126.98,5765.56,84.1,87.84,0.0491,0.0313,10.0,9.0,128.0,255.0,6.0,2.0,64.7,99.4,37.2,110.0,17.0,0.83,0.0752,0.0102,0.0399,0.0,0.0,65535.0,65535.0,2514.0,2019.0,0
NORM-0008,80.0,80.0,2.1262,39.0,13449.0,2097.0,6296.0,17.97,11.58,38828.61,30113.1,130.99,77.95,0.0376,0.0139,1.0,14.0,255.0,64.0,6.0,2.0,85.2,98.9,36.7,116.2,18.9,0.68,0.0317,0.0322,0.039,0.0,0.0,65535.0,65535.0,2596.0,2603.0,0
NORM-0044,443.0,53.0,1.2784,19.0,4460.0,3909.0,4267.0,15.25,9.25,40986.74,38865.08,91.86,61.43,0.0175,0.0401,2.0,12.0,64.0,64.0,6.0,2.0,70.4,96.4,36.7,104.1,14.2,0.88,0.0396,0.0267,0.0377,0.0,0.0,65535.0,65535.0,1590.0,4907.0,0
NORM-0071,35080.0,53.0,1.9403,9.0,9758.0,3510.0,6222.0,20.96,16.53,35924.73,20685.28,125.75,148.85,0.0093,0.04,11.0,4.0,128.0,64.0,6.0,2.0,83.8,98.9,36.3,126.7,14.5,0.76,0.0636,0.0158,0.0126,0.0,0.0,65535.0,65535.0,2371.0,3506.0,0
NORM-0099,80.0,443.0,0.3497,13.0,6102.0,7382.0,6631.0,17.63,9.64,6181.76,15885.44,214.99,132.84,0.0389,0.0403,9.0,2.0,255.0,128.0,6.0,2.0,64.1,97.4,37.2,118.7,16.1,0.94,0.0487,0.0124,0.0337,0.0,0.0,65535.0,65535.0,3456.0,2593.0,0
NORM-0121,53.0,443.0,1.0665,22.0,4067.0,1539.0,6903.0,22.65,18.83,1244.26,9109.64,180.75,132.15,0.0463,0.0385,7.0,7.0,128.0,255.0,6.0,2.0,61.2,97.6,36.7,113.9,20.6,0.84,0.0168,0.0277,0.0324,0.0,0.0,65535.0,65535.0,3115.0,3150.0,0
NORM-0084,80.0,443.0,3.0134,20.0,2656.0,2654.0,5725.0,28.42,18.56,35807.6,32397.81,248.63,124.89,0.009,0.0264,12.0,8.0,255.0,64.0,6.0,2.0,79.7,96.0,37.0,118.0,15.3,0.64,0.0268,0.0146,0.0061,0.0,0.0,65535.0,65535.0,1890.0,1540.0,0
ATTK-0003,3128.0,80.0,41.118,2461.0,1948015.0,1223467.0,47002.0,639.27,6.1,1330754.31,35082.36,1461.68,33.61,0.6053,0.7452,28.0,25.0,32.0,255.0,6.0,1.0,74.9,96.3,37.5,138.9,18.9,1.02,0.8024,0.4156,0.2822,8.0,2.0,1024.0,1024.0,8760.0,2554.0,1
ATTK-0004,80.0,22.0,0.3113,13.0,1126.0,805.0,27381.0,15.68,5.41,31191.56,39445.94,104.81,428.14,0.6956,0.3067,2.0,8.0,64.0,32.0,6.0,1.0,79.8,97.1,36.6,128.8,19.3,1.07,0.55,0.3009,0.4931,9.0,2.0,1024.0,1024.0,7487.0,425.0,1
NORM-0090,443.0,80.0,4.1496,44.0,11760.0,527.0,2900.0,19.69,27.19,26577.03,41031.09,210.8,71.16,0.022,0.0352,8.0,14.0,255.0,128.0,6.0,2.0,86.2,98.0,36.8,120.1,15.8,0.75,0.0709,0.027,0.0264,0.0,0.0,65535.0,65535.0,2342.0,3821.0,0
NORM-0009,80.0,443.0,0.657,18.0,2671.0,536.0,4872.0,8.05,16.15,35018.86,26569.13,97.96,212.78,0.0361,0.0372,12.0,2.0,128.0,64.0,6.0,2.0,75.9,97.4,36.7,130.0,17.1,1.05,0.0301,0.0374,0.0059,0.0,0.0,65535.0,65535.0,3065.0,2864.0,0
NORM-0014,443.0,53.0,4.6588,42.0,2675.0,7639.0,4454.0,7.38,21.42,5140.17,42181.35,86.11,242.19,0.0402,0.0301,7.0,11.0,255.0,255.0,6.0,2.0,63.9,96.9,36.3,113.3,16.6,1.02,0.0501,0.0213,0.0233,0.0,0.0,65535.0,65535.0,3693.0,3866.0,0
NORM-0120,53.0,53.0,0.3238,20.0,1928.0,6161.0,5355.0,12.32,25.34,38341.58,31720.37,112.94,194.7,0.0475,0.0055,9.0,5.0,128.0,64.0,6.0,2.0,69.4,98.6,35.9,109.8,17.1,0.87,0.0287,0.0351,0.0261,0.0,0.0,65535.0,65535.0,3274.0,2014.0,0
NORM-0126,80.0,443.0,1.0376,25.0,5231.0,6300.0,6882.0,29.11,7.42,36031.29,27435.42,191.22,78.28,0.0102,0.0048,12.0,9.0,64.0,255.0,6.0,2.0,66.7,98.5,37.0,109.8,15.0,0.97,0.0355,0.0052,0.0228,0.0,0.0,65535.0,65535.0,3199.0,4697.0,0
NORM-0004,443.0,80.0,1.2316,12.0,8709.0,4238.0,5573.0,21.61,13.75,40887.0,8346.81,64.32,77.11,0.0364,0.0236,11.0,3.0,255.0,128.0,6.0,2.0,75.8,98.4,37.1,119.0,15.2,0.84,0.0353,0.0081,0.0091,0.0,0.0,65535.0,65535.0,1826.0,4817.0,0
NORM-0018,80.0,443.0,0.6545,33.0,7964.0,4502.0,5318.0,20.75,24.43,8605.44,33323.33,96.68,111.44,0.0358,0.049,11.0,9.0,128.0,64.0,6.0,2.0,63.7,96.1,36.7,101.7,17.9,0.76,0.0228,0.0393,0.021,0.0,0.0,65535.0,65535.0,2806.0,3963.0,0
NORM-0039,8080.0,54845.0,0.2488,21.0,8672.0,7694.0,1770.0,11.33,4.72,6828.71,41341.33,121.09,175.54,0.0238,0.0206,8.0,8.0,128.0,64.0,6.0,2.0,48.6,98.9,35.3,102.8,16.9,0.92,0.0339,0.0068,0.017,0.0,0.0,65535.0,65535.0,474.0,4013.0,0
NORM-0073,8080.0,53.0,1.3025,44.0,11272.0,1312.0,874.0,17.89,15.56,46162.56,22714.29,148.98,242.82,0.0231,0.0099,6.0,4.0,64.0,64.0,6.0,2.0,71.9,97.5,36.7,101.5,15.3,0.8,0.0208,0.0379,0.0109,0.0,0.0,65535.0,65535.0,2128.0,3207.0,0
ATTK-0005,3128.0,22.0,0.6786,7.0,936.0,90.0,30141.0,13.94,4.57,2501.38,18535.9,1320.87,181.6,0.5593,0.6174,18.0,8.0,32.0,255.0,17.0,1.0,165.0,72.0,34.5,65.0,6.0,2.8,0.1281,0.4959,0.402,6.0,9.0,1024.0,1024.0,2029.0,4516.0,1
NORM-0007,24485.0,1663.0,0.8714,19.0,8667.0,2799.0,1116.0,21.81,10.75,33311.71,32987.76,206.04,80.47,0.0459,0.0123,4.0,1.0,64.0,128.0,6.0,2.0,89.0,98.9,37.1,111.0,17.9,0.91,0.0461,0.014,0.0378,0.0,0.0,65535.0,65535.0,1067.0,990.0,0
NORM-0113,53.0,443.0,1.2355,28.0,7371.0,1936.0,5854.0,22.1,19.44,32841.54,12900.68,130.63,68.68,0.0396,0.0222,8.0,7.0,255.0,64.0,6.0,2.0,66.7,98.1,37.2,123.8,16.2,0.85,0.0366,0.0201,0.0335,0.0,0.0,65535.0,65535.0,2176.0,1740.0,0
NORM-0101,80.0,63128.0,4.7284,43.0,12573.0,2337.0,4566.0,20.5,19.34,34834.28,1725.22,242.04,171.26,0.0393,0.0195,5.0,1.0,255.0,128.0,6.0,2.0,72.9,97.5,37.4,120.0,17.6,0.74,0.0324,0.0153,0.024,0.0,0.0,65535.0,65535.0,1363.0,2596.0,0
NORM-0003,80.0,443.0,0.251,36.0,10240.0,3983.0,5054.0,24.52,15.01,28868.32,7151.07,81.76,187.0,0.0241,0.0287,2.0,11.0,128.0,128.0,6.0,2.0,76.7,98.0,37.1,116.5,15.1,0.98,0.0386,0.0349,0.0132,0.0,0.0,65535.0,65535.0,4144.0,479.0,0
NORM-0064,80.0,41626.0,0.4763,10.0,12644.0,423.0,4896.0,9.8,8.21,40787.42,12647.32,233.52,86.61,0.0342,0.0409,6.0,4.0,255.0,64.0,6.0,2.0,62.7,96.9,37.1,104.1,16.1,0.82,0.064,0.0182,0.0342,0.0,0.0,65535.0,65535.0,4237.0,1222.0,0
NORM-0055,443.0,443.0,0.8549,26.0,5686.0,1811.0,1038.0,28.68,13.72,40639.51,43874.35,75.34,183.82,0.0437,0.0321,6.0,7.0,64.0,128.0,6.0,2.0,75.5,97.9,36.4,143.1,16.7,0.74,0.0311,0.0366,0.0066,0.0,0.0,65535.0,65535.0,1692.0,4692.0,0
NORM-0127,443.0,80.0,0.4098,8.0,1619.0,7930.0,931.0,23.18,24.74,8021.64,13686.02,97.06,65.1,0.0281,0.0353,4.0,10.0,255.0,128.0,6.0,2.0,77.5,96.3,36.9,125.6,15.9,0.91,0.0742,0.0277,0.0375,0.0,0.0,65535.0,65535.0,4271.0,2200.0,0
NORM-0051,80.0,52719.0,0.5231,27.0,7810.0,2602.0,6807.0,14.52,13.54,29652.88,6634.31,121.01,96.71,0.0061,0.0434,1.0,9.0,128.0,128.0,6.0,2.0,67.8,97.5,36.8,115.9,12.4,0.82,0.033,0.0208,0.0249,0.0,0.0,65535.0,65535.0,2041.0,2416.0,0
NORM-0116,53.0,20331.0,0.0251,23.0,13904.0,3389.0,4147.0,22.61,7.58,27135.98,30634.6,146.69,89.45,0.013,0.0429,13.0,1.0,64.0,255.0,6.0,2.0,84.6,96.0,36.9,116.6,14.2,0.63,0.0579,0.0256,0.0178,0.0,0.0,65535.0,65535.0,1843.0,3546.0,0
NORM-0047,18339.0,53.0,2.7925,9.0,2117.0,3617.0,3003.0,23.44,10.18,37864.12,23183.86,202.55,148.29,0.019,0.0117,9.0,3.0,128.0,255.0,6.0,2.0,77.5,96.3,36.6,130.2,18.1,0.88,0.0793,0.0098,0.0279,0.0,0.0,65535.0,65535.0,1061.0,2353.0,0
ATTK-0008,4444.0,80.0,16.6917,6387.0,1278636.0,1838610.0,30530.0,1187.94,19.45,8278296.53,37890.89,921.96,102.64,0.4575,0.624,21.0,16.0,64.0,64.0,17.0,1.0,97.8,96.1,37.1,123.5,21.3,0.83,0.7701,0.268,0.0719,19.0,0.0,1024.0,1024.0,309.0,2393.0,1
NORM-0062,443.0,80.0,0.2598,16.0,7438.0,3009.0,2987.0,11.02,22.04,16378.49,13003.39,84.87,143.38,0.0158,0.0191,13.0,4.0,128.0,255.0,6.0,2.0,66.3,97.7,36.7,100.7,13.5,0.44,0.0723,0.0368,0.0327,0.0,0.0,65535.0,65535.0,1922.0,2412.0,0
ATTK-0016,4444.0,22.0,1.521,19.0,1788.0,1290.0,44991.0,36.78,16.23,46766.82,24022.77,964.66,267.17,0.6883,0.3735,25.0,21.0,255.0,255.0,17.0,1.0,42.0,72.0,34.5,195.0,6.0,-1.2,0.7055,0.4713,0.4581,9.0,5.0,1024.0,1024.0,6617.0,2916.0,1
NORM-0080,2672.0,53.0,2.9374,9.0,7138.0,6487.0,6689.0,21.27,6.78,44369.56,22527.67,86.91,89.01,0.0347,0.0033,8.0,5.0,128.0,64.0,6.0,2.0,68.6,97.5,36.7,116.9,16.2,1.1,0.0362,0.0278,0.0088,0.0,0.0,65535.0,65535.0,2183.0,266.0,0
NORM-0060,52703.0,53.0,5.2537,41.0,6880.0,3866.0,4610.0,26.41,19.15,18036.01,30151.3,187.65,242.51,0.0192,0.0218,9.0,12.0,128.0,128.0,6.0,2.0,61.7,97.6,36.2,102.3,16.2,1.02,0.0539,0.0312,0.0363,0.0,0.0,65535.0,65535.0,3715.0,1508.0,0
NORM-0092,80.0,53.0,3.4596,19.0,11542.0,2002.0,3512.0,17.15,14.47,16907.54,23955.43,141.92,173.65,0.045,0.0498,12.0,2.0,128.0,128.0,6.0,2.0,70.4,97.2,37.1,126.1,15.6,0.57,0.0743,0.0061,0.0073,0.0,0.0,65535.0,65535.0,327.0,2135.0,0
NORM-0042,80.0,53.0,1.4526,35.0,10213.0,2718.0,530.0,13.16,8.75,39129.42,38867.74,106.87,186.89,0.0073,0.0145,11.0,2.0,64.0,64.0,6.0,2.0,74.7,99.2,37.0,126.2,11.8,0.8,0.0527,0.0139,0.0269,0.0,0.0,65535.0,65535.0,507.0,1738.0,0
NORM-0059,8080.0,443.0,1.0749,41.0,3197.0,5834.0,6582.0,9.7,6.58,25384.74,23860.18,156.56,142.97,0.0497,0.0248,8.0,7.0,255.0,128.0,6.0,2.0,74.9,98.1,37.4,118.6,16.6,1.2,0.0428,0.0364,0.0216,0.0,0.0,65535.0,65535.0,3642.0,489.0,0
NORM-0091,39139.0,34872.0,0.0075,11.0,8697.0,5788.0,1827.0,26.51,19.56,21590.9,9276.59,124.41,193.72,0.011,0.0056,7.0,13.0,255.0,255.0,6.0,2.0,64.8,97.0,37.3,111.9,13.2,0.99,0.0309,0.0064,0.0305,0.0,0.0,65535.0,65535.0,3160.0,407.0,0
NORM-0049,443.0,53.0,5.13,39.0,1738.0,3153.0,407.0,10.31,25.47,32668.25,8566.26,229.15,149.29,0.0243,0.0468,7.0,1.0,128.0,64.0,6.0,2.0,87.7,96.7,36.4,134.8,13.9,0.65,0.0396,0.0112,0.0097,0.0,0.0,65535.0,65535.0,3327.0,4329.0,0
NORM-0089,80.0,36573.0,0.1837,25.0,10814.0,5054.0,843.0,5.97,19.69,17611.78,29840.21,77.86,240.47,0.0377,0.0439,7.0,2.0,255.0,64.0,6.0,2.0,88.1,97.9,37.1,110.7,14.0,0.86,0.037,0.0119,0.0142,0.0,0.0,65535.0,65535.0,1674.0,3209.0,0
NORM-0108,53.0,80.0,2.9978,19.0,4065.0,3078.0,1524.0,21.07,27.33,13115.57,11985.5,86.5,223.51,0.0121,0.0257,8.0,14.0,128.0,64.0,6.0,2.0,64.4,97.8,37.0,109.9,14.6,0.8,0.0619,0.0325,0.0098,0.0,0.0,65535.0,65535.0,966.0,2088.0,0
NORM-0125,16119.0,443.0,0.0421,18.0,11043.0,4245.0,5422.0,26.08,5.36,39068.45,17567.7,117.63,92.87,0.0498,0.0041,4.0,12.0,128.0,128.0,6.0,2.0,59.4,98.5,37.3,111.4,16.0,0.59,0.0348,0.0093,0.0115,0.0,0.0,65535.0,65535.0,2517.0,1792.0,0
NORM-0022,80.0,443.0,0.3383,25.0,3125.0,5807.0,1494.0,25.91,27.74,28242.5,37919.07,248.16,86.9,0.023,0.0202,5.0,2.0,255.0,255.0,6.0,2.0,74.1,97.6,36.7,110.6,15.1,0.92,0.0263,0.0152,0.0222,0.0,0.0,65535.0,65535.0,4978.0,3014.0,0
NORM-0058,80.0,443.0,0.3679,13.0,3570.0,1529.0,4152.0,27.81,16.89,31673.49,9882.16,212.11,177.38,0.0433,0.0475,2.0,5.0,64.0,64.0,6.0,2.0,89.8,97.5,37.2,120.3,15.6,0.82,0.0228,0.0162,0.0279,0.0,0.0,65535.0,65535.0,1036.0,3429.0,0
ATTK-0013,3128.0,443.0,49.3294,1306.0,609842.0,724968.0,13886.0,734.38,6.25,368868.54,40883.75,281.16,44.87,0.6169,0.3125,24.0,7.0,64.0,32.0,6.0,1.0,94.8,97.4,36.5,133.9,20.6,1.05,0.1663,0.1213,0.2377,13.0,8.0,1024.0,1024.0,5379.0,333.0,1
NORM-0130,80.0,80.0,1.4921,15.0,1410.0,433.0,923.0,22.4,5.72,24377.06,15902.61,103.34,95.87,0.0384,0.0476,5.0,2.0,255.0,255.0,6.0,2.0,61.6,98.2,37.2,115.8,14.9,1.02,0.0473,0.0163,0.0087,0.0,0.0,65535.0,65535.0,3249.0,3390.0,0
NORM-0038,16049.0,443.0,0.2181,32.0,6672.0,867.0,3369.0,11.13,21.05,42715.4,39481.31,124.47,160.86,0.0132,0.013,5.0,3.0,64.0,255.0,6.0,2.0,73.0,98.7,36.7,138.8,15.7,0.91,0.0404,0.0096,0.0094,0.0,0.0,65535.0,65535.0,1076.0,4770.0,0
ATTK-0009,80.0,80.0,1.6009,14.0,1254.0,404.0,35909.0,8.57,6.77,44495.38,27432.86,1331.12,128.12,0.2975,0.4032,18.0,13.0,64.0,255.0,17.0,1.0,165.0,78.0,41.2,65.0,38.0,-1.2,0.5426,0.2048,0.2837,6.0,2.0,1024.0,1024.0,443.0,4005.0,1
NORM-0002,80.0,80.0,0.1156,28.0,2990.0,6049.0,4908.0,23.62,27.22,16965.44,17300.23,149.22,96.0,0.0074,0.0243,5.0,4.0,128.0,255.0,6.0,2.0,77.9,98.9,36.3,125.4,14.7,0.88,0.0371,0.0151,0.0289,0.0,0.0,65535.0,65535.0,3256.0,870.0,0
NORM-0053,8080.0,443.0,2.0061,13.0,12900.0,2220.0,3676.0,16.64,4.13,39545.84,15551.51,226.97,130.88,0.0287,0.0142,10.0,3.0,128.0,255.0,6.0,2.0,55.0,97.9,37.1,104.2,14.7,0.68,0.0516,0.0357,0.0181,0.0,0.0,65535.0,65535.0,762.0,685.0,0
NORM-0131,80.0,80.0,0.258,13.0,3508.0,6772.0,4615.0,20.71,14.11,5418.43,20068.45,127.02,196.89,0.0294,0.0251,4.0,7.0,64.0,255.0,6.0,2.0,72.7,97.7,36.1,122.6,14.8,0.71,0.0279,0.04,0.0302,0.0,0.0,65535.0,65535.0,1810.0,427.0,0
NORM-0104,8080.0,46543.0,0.1178,11.0,2847.0,3911.0,4453.0,10.81,19.99,18209.92,40012.4,215.66,153.64,0.0389,0.0143,2.0,7.0,64.0,64.0,6.0,2.0,83.5,98.9,36.9,120.5,18.7,1.1,0.0752,0.025,0.0198,0.0,0.0,65535.0,65535.0,3627.0,2889.0,0
NORM-0100,80.0,53.0,4.1998,26.0,12573.0,5843.0,2229.0,6.33,26.57,46916.07,24426.27,182.04,147.89,0.0216,0.0069,4.0,2.0,255.0,64.0,6.0,2.0,61.5,96.5,36.3,113.0,14.5,0.78,0.0494,0.0179,0.0269,0.0,0.0,65535.0,65535.0,1600.0,4578.0,0
NORM-0117,8080.0,443.0,3.0146,34.0,13323.0,7427.0,4801.0,16.79,11.72,5208.42,11763.59,62.13,247.46,0.0119,0.0409,14.0,3.0,128.0,64.0,6.0,2.0,74.4,97.1,37.1,131.4,16.0,0.9,0.0644,0.0102,0.037,0.0,0.0,65535.0,65535.0,4018.0,2685.0,0
NORM-0088,443.0,53.0,0.6728,22.0,14106.0,2385.0,6305.0,9.65,11.76,29794.11,32594.74,144.1,89.7,0.0061,0.05,11.0,7.0,64.0,255.0,6.0,2.0,77.1,99.2,37.3,148.1,12.6,0.74,0.032,0.0174,0.0208,0.0,0.0,65535.0,65535.0,3739.0,2197.0,0
NORM-0075,8080.0,16607.0,3.8985,43.0,4621.0,686.0,2517.0,18.68,17.46,25769.64,29013.49,137.58,202.34,0.0173,0.0172,8.0,2.0,128.0,64.0,6.0,2.0,60.0,97.6,36.0,120.3,13.8,0.79,0.0321,0.0112,0.028,0.0,0.0,65535.0,65535.0,4480.0,1520.0,0
NORM-0122,8080.0,53.0,0.2307,39.0,3861.0,4233.0,2181.0,19.94,14.61,12979.32,39843.61,131.05,144.75,0.0211,0.0099,3.0,11.0,64.0,128.0,6.0,2.0,69.3,99.4,37.1,139.7,12.9,0.81,0.0336,0.0264,0.0263,0.0,0.0,65535.0,65535.0,3911.0,1483.0,0
ATTK-0018,4444.0,80.0,0.2224,7.0,695.0,433.0,40357.0,39.71,10.74,17180.84,33271.46,953.36,471.14,0.7709,0.5605,2.0,20.0,255.0,64.0,17.0,1.0,180.0,84.0,41.2,65.0,6.0,2.8,0.7064,0.4828,0.0882,10.0,8.0,1024.0,1024.0,2834.0,4668.0,1
NORM-0021,80.0,443.0,2.3396,38.0,1589.0,990.0,2252.0,13.35,8.15,16380.78,33678.47,62.79,217.16,0.043,0.0192,10.0,3.0,64.0,128.0,6.0,2.0,60.0,97.3,36.6,144.2,16.9,0.77,0.0581,0.0297,0.0186,0.0,0.0,65535.0,65535.0,4643.0,3276.0,0
NORM-0072,42987.0,80.0,1.8828,17.0,4915.0,2978.0,4058.0,20.55,18.65,31553.77,6943.51,191.77,188.2,0.0344,0.0046,11.0,7.0,64.0,128.0,6.0,2.0,62.3,96.8,36.4,148.1,15.1,0.86,0.0431,0.0225,0.0267,0.0,0.0,65535.0,65535.0,3662.0,4654.0,0
NORM-0107,51599.0,53.0,1.9589,32.0,12168.0,4829.0,6034.0,8.84,17.98,14980.29,33523.58,105.37,187.57,0.0135,0.026,3.0,14.0,128.0,128.0,6.0,2.0,72.0,99.5,37.3,116.7,15.6,0.95,0.0582,0.0236,0.0186,0.0,0.0,65535.0,65535.0,3706.0,4099.0,0
NORM-0015,53.0,80.0,2.3615,13.0,14023.0,6822.0,1190.0,7.93,6.11,33235.3,19418.77,207.12,187.53,0.0173,0.045,12.0,11.0,128.0,64.0,6.0,2.0,65.1,97.1,36.7,123.8,18.0,0.69,0.0368,0.0305,0.0244,0.0,0.0,65535.0,65535.0,4755.0,4693.0,0
NORM-0093,80.0,80.0,0.3817,12.0,8945.0,3595.0,3686.0,19.51,13.04,41511.36,7097.54,141.39,191.05,0.0435,0.0191,8.0,8.0,128.0,64.0,6.0,2.0,75.6,96.2,37.3,115.7,18.3,0.99,0.0704,0.0342,0.0081,0.0,0.0,65535.0,65535.0,1643.0,314.0,0
NORM-0103,52700.0,443.0,0.4509,22.0,1169.0,2581.0,5918.0,6.92,8.67,1190.81,20591.3,123.53,91.54,0.0231,0.0207,12.0,11.0,128.0,255.0,6.0,2.0,70.6,96.4,36.5,111.3,12.8,0.94,0.076,0.0383,0.0194,0.0,0.0,65535.0,65535.0,4215.0,3403.0,0
